Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
TCTEX1D2	2	-0.55209	-3.7085	0.12117	0.75567	0.00020853	0.0010807	-0.66025	-4.3981	0.057328	0.63323	1.09E-05	8.18E-05	-0.50474	-3.5067	0.13305	0.79501	0.00045376	0.0020999	-0.83835	-5.2106	0.016384	0.46399	1.88E-07	2.45E-06
CBY3	3	0.045841	0.44907	0.48393	0.94079	0.65338	0.76037	-0.10848	-1.0543	0.98504	0.99778	0.29173	0.43432	0.074276	0.74098	0.46199	0.93172	0.45871	0.58825	-0.13483	-1.271	0.86388	0.99452	0.20373	0.33362
ZDBF2	3	-0.12084	-1.1915	0.95614	0.99833	0.23346	0.36476	-0.16379	-1.6133	0.82182	0.98426	0.10667	0.20426	-0.11388	-1.1442	0.92157	0.99401	0.25255	0.37937	-0.26855	-2.5478	0.47728	0.94118	0.010841	0.033441
ZNF90	3	0.23011	0.98659	0.11707	0.7466	0.32384	0.46478	0.46242	2.0472	0.01116	0.35604	0.040635	0.095786	0.27648	1.2391	0.10293	0.75273	0.2153	0.33639	0.41734	1.7481	0.024582	0.53002	0.080443	0.16485
FAM160B2	3	0.12989	1.3106	0.27275	0.879	0.19001	0.31206	0.088192	0.88918	0.33679	0.89512	0.37391	0.51988	0.064447	0.65814	0.48956	0.93932	0.51045	0.63702	0.011197	0.10973	0.6328	0.96656	0.91263	0.94558
ASAH2	3	-0.025492	-0.26434	0.71451	0.9772	0.79152	0.86302	0.0025372	0.026382	0.59184	0.95613	0.97895	0.98763	0.00037377	0.0039359	0.69107	0.97606	0.99686	0.9976	-0.057682	-0.58469	0.87353	0.995	0.55876	0.69121
RAB40C	4	-0.051965	-0.53799	0.8065	0.98655	0.59059	0.71124	-0.048669	-0.50501	0.77163	0.98024	0.61355	0.73464	0.017822	0.18935	0.63067	0.96951	0.84982	0.9007	0.064738	0.6577	0.46805	0.93748	0.51073	0.65083
ZNF594	2	0.4142	3.3567	0.019806	0.45098	0.00078868	0.0034492	0.32437	2.6212	0.039176	0.56122	0.0087613	0.027508	0.21518	1.7533	0.17166	0.82749	0.079552	0.15504	0.34645	2.7452	0.047707	0.63988	0.0060474	0.020606
NDUFB11	5	-0.11285	-1.5318	0.98374	0.99867	0.12556	0.22746	-0.065913	-0.89792	0.83385	0.98527	0.36923	0.51506	0.027022	0.37393	0.60176	0.96402	0.70846	0.79792	0.11628	1.5684	0.3331	0.8941	0.11679	0.21962
CHCHD8	2	-0.34099	-2.6865	0.37163	0.91538	0.0072211	0.022639	-0.27999	-2.2211	0.48794	0.93835	0.026343	0.067696	-0.014707	-0.12064	0.74038	0.97851	0.90397	0.93745	-0.085955	-0.67187	0.97107	0.99913	0.50166	0.64199
MUL1	5	-0.28452	-3.212	0.48769	0.94213	0.0013184	0.0053794	-0.12734	-1.4617	0.94624	0.99551	0.14382	0.25631	-0.13369	-1.5689	0.85559	0.98905	0.11666	0.2094	-0.16268	-1.7932	0.77506	0.98413	0.072947	0.15313
CCDC6	3	-0.23669	-2.1989	0.60542	0.95986	0.027887	0.069253	-0.16167	-1.5139	0.82899	0.98494	0.13006	0.23736	-0.34011	-3.2122	0.33201	0.89955	0.001317	0.0052533	-0.22731	-2.0473	0.58371	0.95797	0.040626	0.096609
MFAP1	2	-0.82995	-5.089	0.025329	0.48914	3.60E-07	3.45E-06	-0.48758	-3.1313	0.15872	0.81373	0.0017403	0.0070595	-0.4241	-2.8235	0.21152	0.86104	0.0047509	0.015573	-0.71721	-4.2437	0.034468	0.57565	2.20E-05	0.00017186
KCNK9	4	-0.055639	-0.60251	0.8187	0.9882	0.54683	0.67474	-0.32431	-3.4457	0.39005	0.91463	0.00056965	0.0026891	-0.092243	-1.0176	0.99331	0.99918	0.30886	0.44133	-0.074696	-0.78454	0.93192	0.99689	0.43273	0.58017
RHPN1	3	-0.60163	-6.068	0.091532	0.70622	1.30E-09	1.86E-08	-0.4728	-4.8241	0.17308	0.83098	1.41E-06	1.29E-05	-0.56071	-5.7988	0.095562	0.74198	6.68E-09	9.68E-08	-0.44318	-4.3976	0.18584	0.82448	1.09E-05	9.45E-05
BTN3A2	2	-0.29408	-2.7013	0.46588	0.9387	0.0069062	0.021821	-0.29246	-2.6892	0.45915	0.93027	0.0071621	0.023288	-0.25158	-2.3372	0.51554	0.94255	0.019427	0.049516	-0.30114	-2.7247	0.40524	0.92053	0.0064369	0.021679
FAM9C	3	0.11509	1.1526	0.30486	0.88966	0.24907	0.38241	-0.01013	-0.1009	0.63679	0.96334	0.91963	0.95236	0.29142	2.9834	0.09051	0.74093	0.002851	0.0101	0.13028	1.278	0.30073	0.87736	0.20124	0.33069
NDUFAF1	2	-0.01304	-0.10041	0.67167	0.96958	0.92002	0.95075	-0.033005	-0.25426	0.71575	0.97064	0.79929	0.8737	0.14409	1.1409	0.29361	0.88983	0.25392	0.381	0.26113	1.9997	0.10283	0.74209	0.045538	0.10579
GTPBP4	2	-1.05	-6.3804	0.0074631	0.32714	1.77E-10	2.90E-09	-1.0473	-6.3979	0.0058901	0.2828	1.57E-10	2.79E-09	-0.77385	-5.1414	0.025719	0.53294	2.73E-07	2.86E-06	-0.99638	-5.7133	0.0062805	0.36959	1.11E-08	1.86E-07
KIF20B	3	-0.19676	-1.8783	0.71781	0.9772	0.060334	0.12804	-0.33489	-3.1695	0.36999	0.90946	0.0015271	0.0062901	-0.37165	-3.5859	0.2806	0.88983	0.00033589	0.0016132	-0.21934	-2.0275	0.60583	0.96178	0.042607	0.1004
C1QL4	4	-0.10512	-1.1379	0.98984	0.99878	0.25516	0.3891	0.0016793	0.018342	0.59549	0.95666	0.98537	0.99191	0.23391	2.6279	0.14791	0.81679	0.0085912	0.025425	0.047232	0.50383	0.51948	0.94656	0.61438	0.73712
MXD4	4	0.036531	0.39251	0.51105	0.9432	0.69468	0.79292	-0.093446	-0.99666	0.93145	0.99413	0.31893	0.46403	-0.03669	-0.40053	0.81641	0.98694	0.68877	0.78278	-0.020842	-0.21668	0.74358	0.98276	0.82846	0.8905
ATP5J	3	-0.37887	-4.0097	0.30769	0.892	6.08E-05	0.00036475	-0.33798	-3.5904	0.36413	0.90584	0.00033011	0.0016818	-0.35201	-3.7904	0.31148	0.89574	0.00015041	0.00079952	-0.31344	-3.2571	0.3806	0.91344	0.0011254	0.005019
HMOX1	3	0.077737	0.72877	0.39452	0.92905	0.46614	0.60338	0.17218	1.6268	0.17112	0.82771	0.10378	0.19987	0.18276	1.7557	0.22124	0.86713	0.079144	0.15438	0.10869	0.99412	0.3516	0.90051	0.32017	0.46677
LARP6	6	-0.024375	-0.32505	0.71039	0.97611	0.74514	0.83081	-0.068166	-0.90802	0.8418	0.9883	0.36387	0.5102	-0.024766	-0.33661	0.77517	0.98192	0.73641	0.81913	-0.12206	-1.5731	0.90745	0.99664	0.1157	0.21809
TTPA	4	-0.30694	-3.5696	0.43803	0.93721	0.00035749	0.0017254	-0.10539	-1.243	0.97411	0.99747	0.21386	0.34528	-0.12985	-1.5527	0.86863	0.98983	0.1205	0.21449	-0.081121	-0.93517	0.95461	0.99877	0.3497	0.49775
CSF1	3	-0.20957	-2.1807	0.68034	0.96974	0.029202	0.071643	-0.4193	-4.3161	0.23416	0.86575	1.59E-05	0.00011323	-0.44057	-4.6078	0.19241	0.8515	4.07E-06	3.27E-05	-0.37108	-3.7292	0.27986	0.86882	0.00019208	0.0011209
LRFN4	4	-0.12422	-1.4141	0.94534	0.99678	0.15732	0.27063	-0.058476	-0.66961	0.80716	0.98402	0.50311	0.64118	-0.11435	-1.3269	0.92001	0.99383	0.18454	0.29872	-0.026783	-0.2994	0.76467	0.984	0.76463	0.84776
MTHFD2	4	-0.37744	-3.8986	0.30989	0.89335	9.68E-05	0.00055075	-0.26251	-2.7458	0.53167	0.94512	0.0060367	0.020117	-0.26599	-2.8456	0.48196	0.9374	0.0044326	0.014687	-0.17462	-1.7781	0.73808	0.98247	0.075382	0.15695
SDHA	4	-0.061274	-0.55468	0.83907	0.99176	0.57911	0.70206	-0.059904	-0.54382	0.81214	0.98402	0.58656	0.71231	0.23134	2.2026	0.15102	0.81679	0.027626	0.066183	0.19221	1.7227	0.18634	0.82506	0.084934	0.17182
PRAMEF16	4	-0.16015	-1.8509	0.82977	0.99066	0.064186	0.13433	-0.19442	-2.2459	0.72365	0.97163	0.024709	0.064374	-0.20995	-2.4643	0.62495	0.96842	0.013729	0.037315	-0.32001	-3.556	0.3676	0.90735	0.00037654	0.0019912
IQCG	4	-0.30031	-3.1038	0.45189	0.9387	0.0019106	0.0073841	-0.15705	-1.6457	0.84411	0.98865	0.099829	0.19429	-0.34988	-3.6953	0.31505	0.89574	0.00021963	0.0011092	-0.19261	-1.947	0.68367	0.97518	0.051535	0.11674
CCDC159	4	0.083955	0.89776	0.37892	0.92098	0.36931	0.51099	0.16746	1.8038	0.17832	0.83662	0.071255	0.14965	0.075565	0.82381	0.45824	0.9313	0.41005	0.54218	0.05035	0.52196	0.51014	0.94418	0.6017	0.7275
VTCN1	8	-0.1441	-2.1671	0.88112	0.99461	0.030226	0.073699	-0.14915	-2.2466	0.87078	0.98949	0.024665	0.064287	0.1005	1.5641	0.39189	0.91653	0.1178	0.21101	0.026711	0.39619	0.58362	0.95797	0.69196	0.79507
NABP2	3	-0.31198	-3.0163	0.42788	0.93698	0.0025591	0.0094764	-0.36466	-3.5192	0.31557	0.88819	0.00043285	0.0021179	-0.36553	-3.5967	0.29023	0.88983	0.00032225	0.0015575	-0.45899	-4.2554	0.16958	0.81288	2.09E-05	0.00016481
OR7C1	2	-0.61024	-4.3867	0.086721	0.70256	1.15E-05	8.18E-05	-0.44698	-3.2788	0.19982	0.85246	0.0010424	0.0045145	-0.37764	-2.8594	0.27201	0.88983	0.0042449	0.014168	-0.038952	-0.28661	0.8065	0.98789	0.77441	0.85371
CYTIP	6	-0.24153	-3.1483	0.59234	0.95823	0.001642	0.0064977	-0.33504	-4.344	0.36965	0.90921	1.40E-05	0.00010167	-0.39075	-5.1603	0.25336	0.8871	2.46E-07	2.61E-06	-0.44854	-5.5416	0.18013	0.82028	3.00E-08	4.63E-07
TMEM101	3	-0.12837	-1.1896	0.93164	0.99661	0.2342	0.36561	-0.27641	-2.536	0.49691	0.94126	0.011214	0.033666	-0.12699	-1.2038	0.87789	0.98983	0.22868	0.35196	-0.10081	-0.90749	0.97899	0.99965	0.36415	0.51237
BOD1	5	-0.34117	-3.8897	0.37126	0.9151	0.00010038	0.00056843	-0.33626	-3.8437	0.36736	0.90727	0.0001212	0.00069497	-0.27624	-3.2386	0.45853	0.9314	0.0012012	0.0048593	-0.36156	-3.9833	0.29429	0.87368	6.80E-05	0.00045879
PLEKHA3	2	-0.47585	-3.0639	0.1846	0.82483	0.0021849	0.0082863	-0.53821	-3.4521	0.11845	0.76077	0.00055631	0.0026318	-0.68807	-4.484	0.044124	0.6366	7.32E-06	5.54E-05	-0.5823	-3.5413	0.080946	0.70825	0.00039809	0.0020836
ARNTL2	4	-0.50754	-6.8467	0.15487	0.79811	7.56E-12	1.48E-10	-0.60355	-8.1267	0.080315	0.69796	4.41E-16	1.57E-14	-0.4788	-6.5113	0.15446	0.81726	7.45E-11	1.45E-09	-0.51385	-6.8555	0.1221	0.77213	7.11E-12	2.10E-10
NUSAP1	6	0.0054023	0.080197	0.60711	0.96009	0.93608	0.96147	-0.018145	-0.2694	0.66423	0.96634	0.78762	0.86576	0.093601	1.4117	0.40967	0.9225	0.15804	0.26528	0.035543	0.51945	0.55535	0.95182	0.60345	0.72844
NPY1R	4	-0.26151	-2.7521	0.54162	0.94666	0.0059208	0.019209	-0.41071	-4.277	0.24543	0.87082	1.89E-05	0.00013316	-0.21005	-2.2717	0.62463	0.96842	0.023102	0.057249	-0.16694	-1.7168	0.7618	0.984	0.086016	0.17342
DDX1	3	-0.90441	-7.6496	0.016821	0.42907	2.02E-14	5.37E-13	-0.94704	-7.9952	0.010644	0.34654	1.29E-15	4.46E-14	-0.53221	-4.8151	0.11291	0.76956	1.47E-06	1.31E-05	-0.50552	-4.3012	0.12807	0.78077	1.70E-05	0.00013766
SAMHD1	4	-0.28638	-2.9827	0.4832	0.94068	0.0028567	0.010389	-0.31433	-3.2737	0.4102	0.91754	0.0010614	0.0045844	-0.28301	-3.0258	0.44411	0.92939	0.0024797	0.0089687	-0.31661	-3.1713	0.37467	0.91185	0.0015178	0.0064665
TMEM72	3	0.018801	0.17059	0.5633	0.95293	0.86455	0.91337	0.15866	1.4569	0.19224	0.84524	0.14513	0.25794	0.28899	2.7178	0.092359	0.74093	0.0065721	0.020381	0.13159	1.1703	0.29788	0.87534	0.24186	0.3801
ING2	6	0.10026	1.304	0.33935	0.90443	0.19224	0.31483	-0.019011	-0.24564	0.66717	0.96663	0.80596	0.87863	0.030136	0.39819	0.59208	0.96221	0.69049	0.78417	0.040716	0.51245	0.53963	0.95182	0.60833	0.73221
TIMP3	3	-0.52642	-4.7187	0.13953	0.77977	2.37E-06	1.95E-05	-0.36683	-3.3499	0.3121	0.88684	0.00080831	0.0036354	-0.40435	-3.7739	0.23486	0.8762	0.00016072	0.00084533	-0.45819	-3.9715	0.17038	0.81301	7.14E-05	0.00047869
DTYMK	4	-0.81482	-6.5872	0.027533	0.5058	4.48E-11	7.96E-10	-0.92496	-7.3995	0.012228	0.37148	1.37E-13	3.73E-12	-1.0335	-8.4655	0.0058097	0.36268	2.55E-17	1.20E-15	-0.98827	-7.4192	0.0066135	0.37647	1.18E-13	4.54E-12
RPAIN	3	-1.3183	-13.649	0.0016648	0.19728	2.04E-42	7.40E-40	-1.0923	-11.554	0.0044894	0.26098	7.03E-31	1.19E-28	-1.0308	-11.169	0.0059131	0.36268	5.76E-29	1.01E-26	-0.92586	-9.6244	0.0094724	0.40541	6.31E-22	7.63E-20
NAA11	2	-0.084242	-0.618	0.91774	0.99475	0.53657	0.66547	-0.051293	-0.37803	0.78078	0.98113	0.70541	0.80701	-0.014396	-0.1085	0.73941	0.97851	0.9136	0.94411	0.1737	1.2649	0.21707	0.84204	0.20589	0.33637
SLC24A1	4	-0.24587	-2.6444	0.58111	0.95657	0.0081842	0.025125	-0.17537	-1.9002	0.78421	0.98152	0.057406	0.12628	-0.35337	-3.8616	0.30915	0.89475	0.00011265	0.00061803	-0.33971	-3.5066	0.33163	0.89293	0.00045394	0.0023263
ORAOV1	3	-0.64569	-5.1713	0.071405	0.67047	2.32E-07	2.30E-06	-0.32075	-2.6566	0.39698	0.91488	0.0078935	0.025219	-0.37911	-3.2004	0.26994	0.88983	0.0013723	0.0054378	-0.24999	-2.012	0.52378	0.94787	0.044218	0.10336
GPR108	3	-0.029862	-0.27361	0.72962	0.9792	0.78438	0.85835	-0.036635	-0.3362	0.72843	0.97247	0.73672	0.82997	0.072787	0.68568	0.46601	0.93324	0.49292	0.62016	0.0080036	0.071364	0.64287	0.9677	0.94311	0.96472
PRR24	2	-0.21682	-1.3443	0.65957	0.9684	0.17884	0.29825	-0.21574	-1.3411	0.65828	0.96535	0.17987	0.30331	-0.025092	-0.16213	0.77641	0.98192	0.87121	0.91508	-0.19886	-1.1918	0.66531	0.97263	0.23335	0.36983
SPOCK2	7	0.13874	1.8274	0.25476	0.8732	0.067633	0.13992	0.21884	2.9049	0.11105	0.75129	0.0036733	0.013315	0.20851	2.8183	0.18159	0.83932	0.0048278	0.015763	0.28652	3.7133	0.081807	0.70835	0.00020461	0.0011849
CLCF1	5	-0.30042	-3.5986	0.45168	0.9387	0.00031989	0.0015674	-0.43917	-5.209	0.20909	0.85516	1.90E-07	2.07E-06	-0.43172	-5.2518	0.20243	0.85538	1.51E-07	1.66E-06	-0.38414	-4.4062	0.26114	0.86089	1.05E-05	9.10E-05
KCNG4	4	0.057989	0.62429	0.44926	0.9387	0.53243	0.66206	0.25098	2.7389	0.081738	0.70227	0.0061653	0.020475	0.23101	2.5574	0.15141	0.81679	0.010547	0.030124	0.29784	3.1822	0.073885	0.69816	0.0014617	0.006265
TAX1BP1	4	-0.33216	-3.9386	0.38796	0.92548	8.20E-05	0.00047545	-0.32456	-3.8563	0.38949	0.91463	0.00011511	0.00066571	-0.30097	-3.6358	0.40548	0.92212	0.00027713	0.0013613	-0.35283	-4.0798	0.30915	0.88317	4.51E-05	0.00031947
IQSEC1	6	0.2012	2.6274	0.15058	0.79185	0.0086043	0.026184	0.32363	4.2649	0.03952	0.5638	2.00E-05	0.00013982	0.21109	2.8095	0.17744	0.83294	0.0049611	0.016093	0.25328	3.2363	0.11019	0.75746	0.0012111	0.0053408
SETD7	4	-0.0011653	-0.012508	0.63308	0.96217	0.99002	0.9951	0.018234	0.19637	0.53746	0.94587	0.84432	0.90312	0.080338	0.88425	0.44508	0.92939	0.37656	0.51151	0.056509	0.59218	0.49219	0.94282	0.55373	0.68695
FAM132A	3	-0.10358	-0.84546	0.98489	0.99867	0.39785	0.53957	0.073447	0.61083	0.37508	0.90972	0.54131	0.67515	-0.060621	-0.51089	0.89781	0.99119	0.60943	0.72117	-0.09738	-0.76487	0.99047	0.9999	0.44435	0.59108
CCSAP	6	0.069666	0.96057	0.4165	0.9352	0.33677	0.47801	-0.0084779	-0.11654	0.63101	0.96292	0.90722	0.94498	0.08601	1.2068	0.43009	0.92695	0.22751	0.35057	0.11551	1.5619	0.33484	0.89421	0.11832	0.22152
CSF2RB	3	-0.13675	-1.2295	0.90443	0.99475	0.21889	0.34706	0.08379	0.76788	0.34824	0.89979	0.44256	0.58525	-0.015867	-0.1473	0.74455	0.97878	0.8829	0.9229	0.027658	0.24451	0.58057	0.95757	0.80684	0.8766
SLAIN1	6	0.038204	0.56175	0.50639	0.94316	0.57429	0.69782	-0.00080211	-0.011787	0.60559	0.95881	0.9906	0.99448	0.12789	1.9125	0.32807	0.89777	0.055816	0.11663	0.010759	0.15485	0.63423	0.96693	0.87694	0.92344
ECM1	5	-0.19184	-2.6305	0.73242	0.9792	0.0085268	0.025981	-0.1736	-2.3855	0.78984	0.98188	0.017054	0.047668	-0.26156	-3.6275	0.49245	0.94018	0.00028618	0.0014018	-0.22637	-3.036	0.58626	0.95828	0.0023976	0.0095069
EIF5	4	-1.1949	-11.22	0.003456	0.25508	3.24E-29	3.79E-27	-1.1494	-10.898	0.0033182	0.23387	1.17E-27	1.46E-25	-1.1361	-11.187	0.0030082	0.28901	4.70E-29	8.52E-27	-0.9423	-8.7293	0.0086228	0.40053	2.56E-18	2.00E-16
NDUFB2	3	-0.59261	-5.3826	0.095907	0.70817	7.34E-08	8.06E-07	-0.75023	-6.7196	0.033837	0.53521	1.82E-11	3.68E-10	-0.25549	-2.4493	0.50644	0.94153	0.014312	0.03858	-0.20457	-1.8654	0.64838	0.96854	0.062128	0.13521
TBX6	4	0.056716	0.57744	0.453	0.9387	0.56364	0.68916	0.061849	0.63127	0.4065	0.91597	0.52786	0.66309	0.13224	1.3835	0.31892	0.89605	0.1665	0.27564	0.21704	2.175	0.15135	0.80036	0.029632	0.075494
UBAC1	2	0.041114	0.30953	0.49788	0.94316	0.75691	0.83893	-0.13106	-0.97585	0.93271	0.99413	0.32914	0.47508	0.024178	0.18561	0.61056	0.96633	0.85275	0.90254	0.15112	1.1163	0.25774	0.86029	0.2643	0.40499
SP7	3	-0.369	-2.9997	0.32241	0.89772	0.0027026	0.0099319	0.020589	0.17463	0.52971	0.94422	0.86137	0.91534	0.091685	0.79936	0.41456	0.92346	0.42408	0.5559	0.17339	1.44	0.21764	0.84204	0.14987	0.2653
REV1	3	0.28979	3.1155	0.066261	0.6606	0.001836	0.0071484	0.39679	4.2844	0.019886	0.45995	1.83E-05	0.00012916	0.23556	2.5535	0.14609	0.81407	0.010664	0.030397	0.30541	3.2401	0.069189	0.68555	0.001195	0.005282
MAP4	6	-0.37861	-5.4407	0.30815	0.89252	5.31E-08	5.94E-07	-0.37922	-5.4589	0.29206	0.88513	4.79E-08	5.80E-07	-0.3628	-5.3175	0.29452	0.88983	1.05E-07	1.19E-06	-0.44625	-6.2117	0.18235	0.8204	5.24E-10	1.14E-08
SFRP1	4	0.091845	1.0913	0.35944	0.91043	0.27516	0.4122	0.060746	0.72161	0.40945	0.91732	0.47053	0.61149	0.057466	0.69136	0.50906	0.94162	0.48934	0.61713	0.092248	1.0746	0.39256	0.91748	0.28253	0.42512
PDF	3	-0.84388	-7.0534	0.023411	0.47204	1.75E-12	3.70E-11	-0.71823	-6.1272	0.041047	0.57338	8.94E-10	1.43E-08	-0.46222	-4.1775	0.16942	0.82749	2.95E-05	0.00019059	-0.46803	-3.9265	0.16089	0.80894	8.62E-05	0.00056094
SNX1	3	-0.41662	-4.6258	0.25261	0.87089	3.73E-06	2.94E-05	-0.27394	-3.062	0.50272	0.94126	0.0021983	0.0085933	-0.28674	-3.2351	0.43617	0.92811	0.0012158	0.0049082	-0.37539	-4.1066	0.27391	0.86768	4.02E-05	0.00028991
QTRT1	4	-0.0041463	-0.048279	0.64257	0.96404	0.96149	0.97771	-0.13503	-1.5628	0.91896	0.99264	0.11809	0.22097	-0.14921	-1.7539	0.80622	0.98592	0.079455	0.15488	-0.10367	-1.1709	0.96862	0.99913	0.24165	0.37984
AKNA	4	-0.22553	-2.654	0.63565	0.96217	0.0079538	0.024517	-0.16721	-1.9778	0.81075	0.98402	0.047954	0.10928	-0.34472	-4.1045	0.32388	0.89637	4.05E-05	0.00025223	-0.27731	-3.169	0.45739	0.93552	0.0015295	0.0065031
MIS18BP1	4	-0.42445	-4.3329	0.24261	0.86474	1.47E-05	0.00010246	-0.15862	-1.6628	0.83904	0.98701	0.096353	0.18949	-0.20724	-2.2126	0.63291	0.97068	0.026923	0.064828	-0.19653	-1.9807	0.67199	0.97334	0.047621	0.10962
UPP1	4	-0.080325	-0.72535	0.90448	0.99475	0.46824	0.60502	-0.12216	-1.1017	0.96513	0.9969	0.27058	0.41196	-0.22864	-2.0947	0.57489	0.95937	0.036195	0.082631	-0.36511	-3.0847	0.28878	0.87197	0.0020375	0.0082827
USP37	6	-0.16373	-2.0251	0.81843	0.98809	0.042856	0.09743	-0.34493	-4.2073	0.35115	0.90172	2.58E-05	0.00017635	-0.27297	-3.435	0.46594	0.93324	0.00059266	0.0026416	-0.13887	-1.6649	0.85096	0.99165	0.095938	0.1886
ZNF648	2	1.4108	5.9772	0.00010334	0.08	2.27E-09	3.16E-08	1.7362	7.5209	5.74E-05	0.05	5.44E-14	1.56E-12	2.5386	11.414	1.15E-05	0.028571	3.54E-30	7.26E-28	1.1039	4.3892	0.00027556	0.12632	1.14E-05	9.78E-05
SLC47A1	4	0.18996	2.0194	0.16667	0.80789	0.043448	0.098545	0.2922	3.1289	0.054056	0.61785	0.0017549	0.0071066	0.27617	2.9983	0.10321	0.75348	0.0027146	0.0096956	0.36574	3.8465	0.039497	0.59448	0.00011984	0.00074768
BDP1	4	-0.61238	-5.858	0.085791	0.69991	4.69E-09	6.21E-08	-0.43563	-4.2687	0.21316	0.85516	1.97E-05	0.00013781	-0.50427	-5.0577	0.13331	0.79501	4.24E-07	4.27E-06	-0.36128	-3.4118	0.29483	0.87368	0.00064526	0.0031396
TANC2	2	-0.26708	-2.1969	0.52809	0.94466	0.028025	0.06948	-0.2813	-2.3159	0.48461	0.93732	0.020565	0.055401	-0.50348	-4.1653	0.13383	0.79536	3.11E-05	0.00019968	-0.51144	-4.0013	0.12366	0.77426	6.30E-05	0.00042905
NT5DC1	2	-0.80113	-5.5527	0.029784	0.52108	2.81E-08	3.29E-07	-0.73501	-5.1572	0.037258	0.55664	2.51E-07	2.68E-06	-0.62567	-4.5904	0.064034	0.70088	4.42E-06	3.52E-05	-0.54403	-3.7224	0.10193	0.74185	0.00019736	0.0011475
CGGBP1	2	0.12032	0.9557	0.29313	0.88471	0.33922	0.48048	-0.046518	-0.36627	0.76367	0.97925	0.71416	0.81328	0.29434	2.3945	0.088294	0.74093	0.016644	0.04367	0.09426	0.72937	0.38724	0.91466	0.46577	0.61071
SEC14L4	4	0.11245	1.4619	0.3112	0.89382	0.14377	0.25232	0.12749	1.6593	0.24852	0.87402	0.097046	0.19044	0.29886	3.9297	0.084896	0.73926	8.50E-05	0.00048375	0.19255	2.4821	0.18585	0.82448	0.01306	0.039021
ACVR1B	4	0.12526	1.6395	0.28252	0.88048	0.10111	0.19177	0.10393	1.3606	0.29913	0.88513	0.17363	0.29539	0.01769	0.23274	0.63114	0.96951	0.81596	0.8772	0.012018	0.15497	0.6302	0.96578	0.87684	0.92339
COL7A1	4	0.32406	3.4942	0.046972	0.59462	0.00047547	0.0022127	0.22782	2.4466	0.10183	0.73499	0.014423	0.041477	0.28811	3.1535	0.093082	0.74093	0.0016132	0.0062278	0.19929	2.0807	0.17605	0.8189	0.03746	0.090641
NSUN5	3	-0.45204	-4.9956	0.20946	0.84369	5.87E-07	5.43E-06	-0.46996	-5.1959	0.17585	0.8342	2.04E-07	2.22E-06	-0.52018	-5.8091	0.12104	0.77396	6.28E-09	9.14E-08	-0.61242	-6.5758	0.066755	0.67605	4.84E-11	1.23E-09
OR2C3	3	0.11567	1.1154	0.30343	0.88899	0.26469	0.40023	0.012402	0.11903	0.55752	0.95162	0.90525	0.94378	-0.02847	-0.27736	0.78791	0.98297	0.7815	0.85348	-0.011821	-0.11008	0.7128	0.97855	0.91235	0.9454
CEACAM5	3	-0.37771	-3.3129	0.30955	0.89335	0.00092338	0.0039422	-0.31225	-2.7638	0.4149	0.92001	0.0057137	0.019263	-0.53164	-4.7407	0.11321	0.77031	2.13E-06	1.83E-05	-0.32836	-2.7829	0.35203	0.90051	0.005387	0.018678
CHD7	4	-0.32425	-3.4749	0.40358	0.93185	0.00051099	0.0023517	-0.37789	-4.0407	0.29409	0.88513	5.33E-05	0.00033546	-0.27864	-3.0687	0.45317	0.92983	0.0021502	0.0079741	-0.35324	-3.6499	0.30843	0.8825	0.00026233	0.0014684
CDS1	6	-0.2894	-3.6062	0.47657	0.94068	0.00031068	0.0015292	-0.40979	-5.0597	0.24641	0.87098	4.20E-07	4.31E-06	-0.3608	-4.5965	0.29745	0.88983	4.30E-06	3.44E-05	-0.32312	-3.8598	0.36161	0.90526	0.00011348	0.00071413
ACACA	3	-0.26338	-2.9309	0.53694	0.94625	0.0033794	0.01196	-0.30084	-3.3465	0.43918	0.92629	0.00081835	0.0036749	-0.10514	-1.188	0.95005	0.99663	0.23485	0.35919	-0.25716	-2.8173	0.5044	0.94282	0.0048432	0.017102
CA5A	4	0.072542	0.76313	0.40845	0.93345	0.44539	0.58447	0.065415	0.68913	0.39667	0.91488	0.49074	0.62989	-0.085291	-0.90745	0.98333	0.99918	0.36417	0.49917	-0.049525	-0.50044	0.8443	0.9909	0.61676	0.73919
BCL2A1	4	-0.30304	-3.1135	0.44623	0.9387	0.0018488	0.007189	-0.33428	-3.4333	0.37111	0.90946	0.00059618	0.0027939	-0.28157	-2.9669	0.44702	0.92939	0.0030086	0.010547	-0.27911	-2.7831	0.45344	0.93552	0.0053849	0.018677
C20orf152	4	-0.41343	-4.8266	0.25694	0.87348	1.39E-06	1.20E-05	-0.3538	-4.154	0.3346	0.89465	3.27E-05	0.00021814	-0.38806	-4.6259	0.25733	0.88983	3.73E-06	3.02E-05	-0.44101	-4.9994	0.18868	0.82744	5.75E-07	6.75E-06
