Gene	sgRNA	Pmel1_Input|beta	Pmel1_Input|z	Pmel1_Input|p-value	Pmel1_Input|fdr	Pmel1_Input|wald-p-value	Pmel1_Input|wald-fdr	Pmel1_Ctrl|beta	Pmel1_Ctrl|z	Pmel1_Ctrl|p-value	Pmel1_Ctrl|fdr	Pmel1_Ctrl|wald-p-value	Pmel1_Ctrl|wald-fdr	Pmel1|beta	Pmel1|z	Pmel1|p-value	Pmel1|fdr	Pmel1|wald-p-value	Pmel1|wald-fdr
Clpx	4	-0.40294	-0.90675	0.14902	0.54927	0.36454	0.99994	0.023545	0.051876	0.46348	0.9681	0.95863	1	-0.88165	-1.9408	0.13896	0.89311	0.052282	0.15802
Esp34	4	0.048106	0.15537	0.65881	0.94349	0.87653	0.99994	0.024135	0.075943	0.45789	0.9681	0.93946	1	-1.1471	-3.5723	0.042135	0.72087	0.00035384	0.0065191
Sec63	4	-1.3237	-2.6102	0.00081321	0.013998	0.009048	0.17436	-0.15824	-0.3064	0.031563	0.45126	0.7593	1	-0.28977	-0.56096	0.95644	0.99908	0.57483	0.74558
Prkar1a	4	-1.0555	-2.3386	0.0036086	0.04531	0.019356	0.30442	-0.21541	-0.46851	0.0046252	0.14422	0.63942	1	-1.3072	-2.8448	0.018145	0.55435	0.0044434	0.032284
Prrt4	4	0.031783	0.13187	0.73545	0.96039	0.89509	0.99994	-0.06324	-0.25584	0.45703	0.9681	0.79808	1	-0.71589	-2.8776	0.27502	0.93533	0.0040068	0.030263
P2ry4	4	-0.035067	-0.13126	0.96661	0.99404	0.89557	0.99994	0.047682	0.175	0.24976	0.89443	0.86108	1	-0.39394	-1.4438	0.80767	0.99201	0.14879	0.31655
Srsf4	4	0.00033774	0.0036365	0.87995	0.98808	0.9971	0.99994	-0.062989	-0.6671	0.45972	0.9681	0.50471	1	-0.027673	-0.29303	0.39065	0.9462	0.7695	0.88386
Tceal5	4	0.051968	0.20283	0.64107	0.93945	0.83927	0.99994	-0.026229	-0.1005	0.89733	0.99524	0.91994	1	-0.30504	-1.1678	0.99131	0.99908	0.2429	0.43628
Pwwp2b	4	0.16445	0.69933	0.20966	0.6456	0.48435	0.99994	-0.061984	-0.25777	0.47039	0.96838	0.79658	1	-0.17364	-0.72138	0.68717	0.979	0.47067	0.66055
Zfp831	4	0.034376	0.25958	0.72366	0.95808	0.79519	0.99994	0.028242	0.20906	0.4152	0.95801	0.8344	1	-0.15021	-1.1116	0.63451	0.97598	0.26632	0.46357
Anp32b	4	-0.037695	-0.18523	0.95726	0.99289	0.85305	0.99994	0.075485	0.36378	0.10206	0.71954	0.71602	1	-0.15893	-0.7657	0.65454	0.97875	0.44386	0.63595
Xrcc3	4	-1.1011	-2.4191	0.0026429	0.035206	0.015561	0.26167	-0.099168	-0.21386	0.18653	0.83511	0.83066	1	-1.1537	-2.4889	0.041118	0.71965	0.012815	0.063097
Ndufv3	4	-0.44307	-1.2343	0.11731	0.48244	0.21707	0.99994	-0.072202	-0.19519	0.36773	0.93754	0.84524	1	-0.31899	-0.85931	0.97728	0.99908	0.39017	0.58862
Ctla2b	4	0.054741	0.2344	0.62826	0.93752	0.81467	0.99994	-0.10769	-0.45197	0.14684	0.7946	0.65129	1	-0.51707	-2.1673	0.55715	0.96858	0.030215	0.11027
Ctla2a	4	-0.074526	-0.43641	0.81875	0.98027	0.66254	0.99994	-0.054215	-0.3118	0.55126	0.98049	0.7552	1	-0.29116	-1.6736	0.9598	0.99908	0.094205	0.23419
Ercc6l	4	-0.97651	-1.6937	0.005845	0.065639	0.090313	0.89924	-0.0022311	-0.0037682	0.77169	0.98741	0.99699	1	0.52094	0.88181	0.014384	0.50534	0.37788	0.57665
Nudt2	4	-0.042217	-0.23943	0.94033	0.99254	0.81077	0.99994	0.013121	0.072525	0.58089	0.98614	0.94218	1	0.38384	2.1245	0.034562	0.68687	0.033624	0.11854
Moxd2	4	-0.047778	-0.22296	0.91787	0.99247	0.82357	0.99994	-0.035363	-0.16139	0.7751	0.98741	0.87179	1	-0.70533	-3.2035	0.28727	0.93533	0.0013575	0.014969
Npr1	4	-0.44845	-1.257	0.11319	0.47262	0.20875	0.99994	-0.018696	-0.05138	0.99883	0.99959	0.95902	1	-0.15793	-0.43382	0.65215	0.97821	0.66442	0.81095
Crygb	4	0.22769	0.88919	0.078272	0.38128	0.3739	0.99994	-0.064879	-0.24646	0.44071	0.9669	0.80532	1	-0.3629	-1.3751	0.87568	0.99624	0.16911	0.34543
Usp21	4	-0.010662	-0.058033	0.92767	0.99254	0.95372	0.99994	-0.011104	-0.059275	0.89779	0.99524	0.95273	1	-0.20412	-1.0888	0.75665	0.9852	0.27624	0.47443
Tbc1d30	4	0.069767	0.4901	0.56036	0.91518	0.62406	0.99994	0.061944	0.42698	0.16132	0.80857	0.66939	1	-0.068339	-0.471	0.46765	0.96034	0.63764	0.79307
Erich4	4	0.023245	0.11181	0.7754	0.97055	0.91097	0.99994	-0.028963	-0.13673	0.85931	0.9897	0.89124	1	-0.13653	-0.64421	0.60437	0.97086	0.51944	0.70177
H2-M10.6	4	-0.0004487	-0.0018156	0.88315	0.98843	0.99855	0.99994	-0.081005	-0.32262	0.30008	0.92584	0.74698	1	-0.64744	-2.5786	0.357	0.93772	0.0099204	0.053578
Pecr	4	-0.014224	-0.069772	0.94297	0.99254	0.94438	0.99994	0.046123	0.22222	0.26119	0.90293	0.82414	1	-0.16814	-0.80988	0.67497	0.979	0.41801	0.61483
Ptafr	4	0.097458	0.44736	0.43995	0.84979	0.65462	0.99994	0.098897	0.44388	0.04244	0.52015	0.65713	1	-0.058289	-0.26161	0.44752	0.95702	0.79362	0.89966
Ube2v2	4	-0.17559	-0.51311	0.50948	0.88702	0.60788	0.99994	0.0099326	0.028385	0.61753	0.98614	0.97736	1	-0.16724	-0.47751	0.67324	0.979	0.633	0.78979
Thnsl2	4	0.23762	1.302	0.06709	0.34976	0.19291	0.99994	-0.051366	-0.27493	0.58368	0.98614	0.78337	1	-0.11348	-0.60692	0.55659	0.96858	0.54391	0.71995
Nfat5	4	0.16951	0.70341	0.19588	0.62626	0.4818	0.99994	0.016398	0.066687	0.54094	0.97768	0.94683	1	-0.58769	-2.388	0.44219	0.95696	0.016941	0.07529
Sh3kbp1	4	0.12471	0.55288	0.3353	0.77905	0.58034	0.99994	0.035503	0.15398	0.34785	0.93625	0.87763	1	-0.15009	-0.6504	0.63431	0.97591	0.51544	0.69853
Hsp90b1	4	-0.43643	-1.5065	0.12249	0.49487	0.13194	0.99994	-0.091726	-0.30993	0.22902	0.87386	0.75662	1	-0.10989	-0.37106	0.54856	0.96668	0.7106	0.8436
Aamp	4	-1.3984	-2.522	0.00045743	0.0086789	0.01167	0.20892	-0.161	-0.28484	0.028412	0.42125	0.77577	1	-0.14565	-0.25759	0.62424	0.97414	0.79672	0.90177
Slc25a35	4	-0.069636	-0.29837	0.8368	0.98259	0.76542	0.99994	-0.0032302	-0.013556	0.78628	0.98741	0.98918	1	-0.7352	-3.0795	0.25591	0.93533	0.0020737	0.019739
Lbhd1	4	-0.076768	-0.47804	0.809	0.9779	0.63262	0.99994	-0.07961	-0.48591	0.30978	0.93032	0.62703	1	0.20411	1.2459	0.11283	0.85616	0.21282	0.40165
Ppargc1a	4	0.042385	0.26197	0.68544	0.94979	0.79335	0.99994	-0.0052473	-0.031815	0.8124	0.98741	0.97462	1	-0.38856	-2.3532	0.81952	0.99344	0.018614	0.08007
Sept1	4	-0.046578	-0.26532	0.92193	0.99254	0.79076	0.99994	-0.081002	-0.45359	0.30008	0.92584	0.65013	1	-0.21135	-1.1831	0.7751	0.98688	0.23678	0.42878
Serf1	4	0.044186	0.17645	0.6772	0.94883	0.85994	0.99994	-0.10704	-0.41822	0.14948	0.79575	0.67579	1	-0.2961	-1.1547	0.97067	0.99908	0.2482	0.44271
Pamr1	4	-0.11912	-0.32766	0.66546	0.94542	0.74317	0.99994	-0.029436	-0.079634	0.85367	0.98938	0.93653	1	-0.42325	-1.1449	0.74267	0.9852	0.25227	0.44719
Mcoln3	4	0.0063456	0.028444	0.85337	0.98492	0.97731	0.99994	-0.0085763	-0.037816	0.86023	0.98977	0.96983	1	-0.97158	-4.2841	0.093469	0.82519	1.8344e-05	0.0010275
Slc25a34	4	-0.45168	-1.3315	0.11075	0.4667	0.18302	0.99994	-0.098029	-0.28157	0.19233	0.84092	0.77827	1	-0.53441	-1.5293	0.52798	0.96626	0.12619	0.28518
Abcc2	4	0.19661	0.86577	0.13072	0.51419	0.38662	0.99994	-0.033481	-0.14396	0.79934	0.98741	0.88553	1	-0.24596	-1.0561	0.85779	0.99624	0.29093	0.49049
Zbtb18	4	0.28194	0.92053	0.028259	0.20211	0.35729	0.99994	-0.0067358	-0.021512	0.83355	0.98741	0.98284	1	-0.54639	-1.7429	0.50694	0.96626	0.081346	0.21218
Rps12	4	-2.3184	-4.3732	5.0826e-05	0.0026954	1.2244e-05	0.0007106	0.1136	0.21042	0.02155	0.36583	0.83334	1	-0.42818	-0.79285	0.73271	0.98464	0.42787	0.62292
Slc52a2	4	0.0081378	0.033829	0.8459	0.98421	0.97301	0.99994	-0.081841	-0.33292	0.29428	0.92401	0.7392	1	0.093439	0.38008	0.21357	0.93378	0.70389	0.83918
Dido1	4	0.061877	0.17638	0.59543	0.9281	0.86	0.99994	0.11264	0.3135	0.02277	0.37806	0.7539	1	-0.84009	-2.3257	0.16554	0.91028	0.020037	0.08429
Olfr1271	4	-0.12032	-0.59063	0.66221	0.94427	0.55477	0.99994	0.03404	0.16439	0.36122	0.93726	0.86942	1	-0.51012	-2.4629	0.57001	0.96858	0.013783	0.065901
Tm6sf1	4	-0.017051	-0.076701	0.9536	0.99289	0.93886	0.99994	0.11697	0.51527	0.018501	0.34372	0.60636	1	-0.43738	-1.925	0.71349	0.98266	0.054234	0.16194
Ankrd12	4	0.046215	0.12837	0.6676	0.94612	0.89786	0.99994	0.033987	0.091731	0.36158	0.93726	0.92691	1	-0.53074	-1.4216	0.53479	0.96626	0.15514	0.32657
Tmprss6	4	0.15718	1.0971	0.22999	0.67356	0.2726	0.99994	-0.068504	-0.4671	0.40325	0.95385	0.64043	1	-0.13791	-0.93919	0.60712	0.97086	0.34763	0.547
Mustn1	4	0.015002	0.057901	0.81459	0.97984	0.95383	0.99994	0.005229	0.019796	0.67593	0.98741	0.98421	1	-0.17797	-0.67345	0.69799	0.98021	0.50066	0.6862
Slamf8	4	0.30535	0.94111	0.016518	0.13824	0.34665	0.99994	-0.0097712	-0.029388	0.87853	0.99266	0.97656	1	0.12802	0.38508	0.17682	0.9177	0.70018	0.83633
Zfp426	4	-0.17349	-0.76745	0.51543	0.89159	0.44281	0.99994	0.03866	0.16782	0.3201	0.93395	0.86673	1	-0.26602	-1.1543	0.90165	0.99908	0.24839	0.44294
Farp2	4	-0.0057631	-0.02381	0.90623	0.99092	0.981	0.99994	-0.013215	-0.053669	0.92534	0.99601	0.9572	1	-0.57181	-2.3212	0.46658	0.96034	0.020275	0.084875
Endod1	4	0.015308	0.044899	0.81296	0.97913	0.96419	0.99994	-0.06892	-0.19789	0.39766	0.94894	0.84313	1	0.15391	0.442	0.15278	0.90249	0.65849	0.8066
Dsg3	4	0.10695	1.1459	0.40208	0.82822	0.25183	0.99994	0.045005	0.47253	0.26948	0.90943	0.63655	1	-0.022354	-0.2347	0.38028	0.94303	0.81444	0.91127
H2-M10.4	4	0.15088	0.65095	0.24717	0.69244	0.51508	0.99994	0.029674	0.12508	0.40163	0.95285	0.90046	1	-0.0039691	-0.016731	0.3506	0.93759	0.98665	1
Tasp1	4	-0.079944	-0.26532	0.79685	0.97524	0.79076	0.99994	-0.094605	-0.30556	0.21194	0.85609	0.75994	1	-0.23771	-0.76499	0.83868	0.99453	0.44428	0.63632
Dlgap1	4	-0.042282	-0.2917	0.94013	0.99254	0.77052	0.99994	0.022977	0.15578	0.46872	0.96838	0.87621	1	-0.2791	-1.8915	0.93103	0.99908	0.058553	0.1702
Hoxc11	4	0.0063651	0.018543	0.85327	0.98492	0.98521	0.99994	-0.0032107	-0.0091561	0.78587	0.98741	0.99269	1	-0.68911	-1.9594	0.30729	0.93533	0.050062	0.15373
Szrd1	4	-1.4612	-3.1601	0.00030496	0.006263	0.001577	0.042975	-0.08064	-0.17142	0.30221	0.92659	0.86389	1	-0.67845	-1.4426	0.31898	0.93533	0.14912	0.31702
Orai1	4	-0.0060663	-0.038319	0.9078	0.99092	0.96943	0.99994	-0.0067065	-0.041387	0.83319	0.98741	0.96699	1	-0.063089	-0.38908	0.45723	0.95913	0.69722	0.83452
Gm7694	4	0.30234	1.3392	0.017942	0.14653	0.1805	0.99994	-0.092304	-0.4002	0.22551	0.86966	0.68901	1	-0.50418	-2.1834	0.58074	0.96858	0.029004	0.10743
Phf20	4	0.16198	0.60885	0.21621	0.65567	0.54262	0.99994	-0.081248	-0.29872	0.29845	0.92584	0.76516	1	-0.045727	-0.16802	0.42287	0.95603	0.86656	0.94408
Rubcnl	4	0.16103	0.77729	0.21891	0.65977	0.43699	0.99994	0.015597	0.073526	0.54968	0.98049	0.94139	1	-0.58507	-2.7491	0.44544	0.95696	0.0059752	0.038877
Tie1	4	-0.11232	-0.87776	0.68757	0.95073	0.38007	0.99994	0.017805	0.13661	0.52412	0.97267	0.89134	1	-0.1935	-1.4842	0.73169	0.98428	0.13777	0.30098
Ankrd34a	4	0.076517	0.43207	0.52864	0.89906	0.66569	0.99994	0.068793	0.38079	0.12935	0.77148	0.70336	1	-0.6412	-3.546	0.36457	0.93915	0.00039106	0.0069379
Aurka	4	-1.2732	-2.576	0.0012706	0.020678	0.0099952	0.18729	-0.29535	-0.58659	0.00050826	0.030675	0.55748	1	-0.84267	-1.6745	0.16371	0.90963	0.094025	0.23393
Atxn1l	4	0.3268	0.80372	0.0097586	0.09538	0.42156	0.99994	0.028266	0.06734	0.41489	0.95787	0.94631	1	0.38894	0.92732	0.033443	0.67418	0.35376	0.55361
En2	4	0.0076163	0.023025	0.84767	0.98424	0.98163	0.99994	-0.033743	-0.099371	0.79598	0.98741	0.92084	1	-0.70785	-2.0662	0.28407	0.93533	0.038809	0.13006
Cnp	4	0.010672	0.039369	0.83385	0.9819	0.9686	0.99994	-0.018442	-0.066764	0.99776	0.99924	0.94677	1	-0.88535	-3.1993	0.13657	0.89028	0.0013777	0.015109
Adh5	4	0.19906	0.71752	0.12574	0.50254	0.47305	0.99994	-0.018964	-0.066869	0.99527	0.99898	0.94669	1	-0.92327	-3.248	0.11532	0.85693	0.0011622	0.013645
Nkx2-2	4	0.010807	0.042343	0.83339	0.9819	0.96622	0.99994	-0.044404	-0.16947	0.66557	0.98741	0.86543	1	0.44831	1.7132	0.023126	0.59322	0.086685	0.22174
Fam3b	4	0.056861	0.21489	0.61804	0.93433	0.82986	0.99994	-0.089138	-0.33097	0.24457	0.8893	0.74067	1	-0.11849	-0.43983	0.56717	0.96858	0.66006	0.80783
Mst1r	4	0.029931	0.097894	0.74384	0.96233	0.92202	0.99994	-0.098002	-0.31338	0.19233	0.84092	0.75399	1	-0.48497	-1.5455	0.61586	0.9723	0.12223	0.279
Lrp1b	4	0.055563	0.31524	0.62414	0.93542	0.75258	0.99994	0.061072	0.33961	0.16549	0.81351	0.73415	1	-0.10007	-0.55631	0.52925	0.96626	0.578	0.74836
Tgoln1	4	-0.10505	-0.48204	0.71177	0.95687	0.62978	0.99994	0.035924	0.16211	0.34384	0.93619	0.87122	1	-0.72853	-3.2865	0.26186	0.93533	0.0010143	0.012598
Hhip	4	0.18409	0.90291	0.16015	0.57063	0.36657	0.99994	-0.037935	-0.1821	0.74328	0.98741	0.8555	1	0.02504	0.12018	0.3044	0.93533	0.90434	0.96631
Gm10778	4	-0.5087	-1.0665	0.080203	0.38639	0.28618	0.99994	0.056107	0.11465	0.19466	0.84309	0.90872	1	-0.13106	-0.26765	0.59263	0.96992	0.78897	0.89656
Tmed1	4	0.058137	0.16987	0.61316	0.93433	0.86511	0.99994	-0.035185	-0.099901	0.77794	0.98741	0.92042	1	0.52464	1.4927	0.01418	0.50361	0.1355	0.29788
Fbxw19	4	0.05206	0.3479	0.64071	0.93928	0.72792	0.99994	-0.060101	-0.39436	0.48925	0.97007	0.69332	1	-0.44596	-2.9243	0.69276	0.98021	0.003452	0.02743
Spa17	4	0.2033	1.1251	0.11781	0.48332	0.26053	0.99994	-0.098168	-0.52943	0.19166	0.84009	0.59651	1	-0.21614	-1.162	0.78704	0.98846	0.24524	0.439
Zfp873	4	0.032958	0.13989	0.72981	0.95986	0.88875	0.99994	0.048195	0.20079	0.24539	0.88963	0.84086	1	-0.29204	-1.2162	0.96208	0.99908	0.22391	0.41474
Chka	4	-0.064052	-0.24365	0.85769	0.98534	0.8075	0.99994	-0.032034	-0.11958	0.81825	0.98741	0.90481	1	-0.20768	-0.77471	0.76493	0.98604	0.43851	0.63132
Mxra7	4	-0.097353	-0.39125	0.73687	0.9609	0.69561	0.99994	-0.0033383	-0.013133	0.7875	0.98741	0.98952	1	-0.15462	-0.60779	0.64432	0.97668	0.54333	0.71952
Kbtbd8	4	-0.15139	-0.57413	0.57271	0.91914	0.56588	0.99994	-0.067497	-0.25119	0.41357	0.95769	0.80167	1	-0.93297	-3.4663	0.1105	0.85422	0.00052775	0.0084282
Mis18a	4	-1.2705	-1.9635	0.0013215	0.021155	0.049589	0.60676	0.029812	0.044494	0.39985	0.95187	0.96451	1	-0.27748	-0.41336	0.92722	0.99908	0.67935	0.82218
Hist1h2ai	4	-0.95184	-1.777	0.0066582	0.072018	0.075573	0.80416	-0.022911	-0.041696	0.94236	0.99628	0.96674	1	-1.1288	-2.0483	0.045693	0.73198	0.040533	0.13392
Fn3k	4	-0.099007	-0.41498	0.73083	0.95986	0.67815	0.99994	-0.066042	-0.27183	0.42816	0.96142	0.78575	1	0.1742	0.71706	0.13591	0.89028	0.47333	0.66298
Nox4	4	0.30502	0.93093	0.016773	0.13965	0.35189	0.99994	0.0024168	0.0071904	0.7109	0.98741	0.99426	1	-0.097512	-0.28994	0.52396	0.96626	0.77186	0.8856
4930435E12Rik	4	0.073225	0.368	0.54379	0.90702	0.71288	0.99994	-0.10398	-0.51191	0.16168	0.80857	0.60871	1	-0.22472	-1.1053	0.80625	0.99194	0.26902	0.46634
Heatr5a	4	0.15766	0.75326	0.22877	0.67269	0.45129	0.99994	-0.080627	-0.3781	0.30236	0.92659	0.70536	1	-0.87744	-4.1139	0.1417	0.89644	3.891e-05	0.0016381
Gm44501	4	0.17047	0.65371	0.1936	0.62336	0.5133	0.99994	0.067532	0.25366	0.13515	0.77836	0.79976	1	-0.50854	-1.9079	0.57281	0.96858	0.0564	0.16622
Nedd4	4	-0.070391	-0.22425	0.83456	0.9819	0.82256	0.99994	-0.064627	-0.20101	0.4433	0.96728	0.84069	1	0.0096003	0.029843	0.329	0.93533	0.97619	1
Commd7	4	0.13859	0.77826	0.28722	0.73725	0.43642	0.99994	0.023698	0.13023	0.46196	0.9681	0.89638	1	-0.080553	-0.44253	0.49118	0.96377	0.65811	0.80631
Armcx4	4	0.19215	1.0765	0.14008	0.53277	0.28169	0.99994	-0.008281	-0.04517	0.85571	0.98938	0.96397	1	0.10907	0.59569	0.19675	0.92481	0.55138	0.72595
Cdx4	4	-0.056741	-0.30457	0.88381	0.98843	0.76069	0.99994	0.00075821	0.0039849	0.7323	0.98741	0.99682	1	-0.14883	-0.78166	0.63182	0.97552	0.43441	0.62811
Tmem43	4	-0.012186	-0.059743	0.93433	0.99254	0.95236	0.99994	0.034609	0.16611	0.35619	0.93726	0.86807	1	-0.31275	-1.4993	0.9905	0.99908	0.1338	0.29525
Pdzd3	4	0.13833	0.64589	0.28798	0.73814	0.51835	0.99994	0.032969	0.15113	0.36996	0.93827	0.87988	1	0.004765	0.021841	0.33601	0.93533	0.98257	1
Rev3l	4	-0.41884	-1.4384	0.13525	0.52351	0.15033	0.99994	0.024015	0.081061	0.45855	0.9681	0.93539	1	-0.25733	-0.8684	0.88198	0.99816	0.38517	0.58343
Bbs10	4	0.14237	0.64475	0.27461	0.72455	0.51909	0.99994	0.019593	0.086866	0.50623	0.97267	0.93078	1	-0.67031	-2.9667	0.32945	0.93533	0.0030106	0.025078
Tnip2	4	0.029106	0.12987	0.74841	0.96399	0.89667	0.99994	0.032596	0.14212	0.37347	0.93905	0.88699	1	-0.44221	-1.924	0.70069	0.98021	0.054358	0.16214
Olfr800	4	0.083354	0.49412	0.49774	0.88257	0.62122	0.99994	-0.021262	-0.12378	0.96417	0.99628	0.90149	1	-0.43311	-2.5195	0.72295	0.98289	0.011753	0.059535
Cfap161	4	0.29365	1.0954	0.022719	0.17454	0.27334	0.99994	0.024738	0.089982	0.45255	0.9681	0.9283	1	-0.133	-0.48355	0.59659	0.97041	0.6287	0.78689
1600015I10Rik	4	0.049868	0.21604	0.64971	0.9409	0.82896	0.99994	-0.037938	-0.16117	0.74323	0.98741	0.87196	1	-0.75354	-3.1953	0.23624	0.93533	0.0013971	0.015262
Atm	4	-0.34315	-0.82175	0.2126	0.64913	0.41122	0.99994	-0.035351	-0.08265	0.7755	0.98741	0.93413	1	-0.56939	-1.3279	0.47024	0.96121	0.18421	0.36467
Ccdc61	4	-0.091924	-1.0761	0.75558	0.96577	0.28188	0.99994	0.10799	1.2366	0.027751	0.41547	0.21625	1	0.0072535	0.083088	0.33255	0.93533	0.93378	0.98247
Nsun5	4	-0.18145	-0.54084	0.49438	0.88011	0.58862	0.99994	-0.13707	-0.40168	0.061703	0.60789	0.68792	1	-0.38207	-1.1195	0.83263	0.99369	0.26294	0.45993
Lvrn	4	0.035452	0.15826	0.71858	0.95808	0.87425	0.99994	0.0044134	0.019267	0.68559	0.98741	0.98463	1	0.19979	0.87291	0.11568	0.85693	0.38271	0.58123
Ggta1	4	-0.05581	-0.27583	0.88737	0.98874	0.78268	0.99994	-0.055926	-0.27117	0.53215	0.97377	0.78626	1	-0.13513	-0.65496	0.60122	0.97086	0.51249	0.69569
Vmn1r112	3	-0.94497	-1.6459	0.019771	0.15762	0.09979	0.94795	0.22423	0.38188	0.00035578	0.024823	0.70255	1	-1.4153	-2.4072	0.030546	0.65255	0.016077	0.072859
Skp2	4	-1.2308	-2.2632	0.0014231	0.021807	0.023621	0.35262	-0.25675	-0.46379	0.0016773	0.075688	0.6428	1	-0.11256	-0.20328	0.55461	0.96858	0.83892	0.92666
Zfp644	4	0.058889	0.38029	0.60925	0.93322	0.70373	0.99994	-0.073568	-0.46579	0.35654	0.93726	0.64136	1	-0.098255	-0.62187	0.52544	0.96626	0.53403	0.71311
Ogg1	4	0.016061	0.10014	0.80956	0.9779	0.92023	0.99994	-0.03304	-0.20207	0.80483	0.98741	0.83986	1	0.16728	1.0232	0.1418	0.89644	0.30623	0.50606
Gabbr1	4	-0.16575	-0.81185	0.53621	0.90349	0.41688	0.99994	-0.041342	-0.19858	0.7013	0.98741	0.84259	1	-0.10446	-0.50156	0.53723	0.96626	0.61598	0.77725
Chsy1	4	-0.0443	-0.2225	0.93128	0.99254	0.82392	0.99994	0.16695	0.82365	0.0020839	0.086681	0.41014	1	-0.88041	-4.3423	0.13957	0.89311	1.4097e-05	0.00085081
Rbpms2	4	0.036456	0.16044	0.71421	0.95716	0.87253	0.99994	0.091114	0.3925	0.056671	0.58225	0.69469	1	-0.60741	-2.6107	0.41184	0.95255	0.0090363	0.050666
Tsc1	4	-0.19567	-0.64771	0.46196	0.8625	0.51717	0.99994	-0.23895	-0.77715	0.0022872	0.088757	0.43707	1	-1.0896	-3.5431	0.054638	0.75087	0.00039544	0.007003
Olfr487	4	0.046	0.13698	0.66851	0.9466	0.89105	0.99994	-0.04751	-0.13794	0.62836	0.98614	0.89029	1	-0.083109	-0.24099	0.4956	0.96377	0.80956	0.90878
Cables1	4	0.024479	0.12664	0.76905	0.96841	0.89922	0.99994	-0.001522	-0.00772	0.76224	0.98741	0.99384	1	-0.44277	-2.2429	0.69926	0.98021	0.024904	0.097182
Olfr288	4	-0.24255	-0.92065	0.36269	0.80195	0.35724	0.99994	-0.09291	-0.34596	0.22196	0.86632	0.72937	1	-0.070414	-0.2621	0.47172	0.96121	0.79325	0.89944
Slc35a5	4	0.11821	0.65894	0.36015	0.80032	0.50994	0.99994	-0.097816	-0.53473	0.19339	0.842	0.59284	1	-0.41591	-2.2715	0.75802	0.9852	0.023117	0.092613
Pde6c	4	0.065056	0.27919	0.5815	0.92234	0.7801	0.99994	0.066696	0.28087	0.13794	0.78191	0.77881	1	-0.5136	-2.1622	0.56381	0.96858	0.030601	0.11116
Lemd1	4	0.081007	0.52866	0.50724	0.88632	0.59704	0.99994	0.015764	0.10079	0.54811	0.97985	0.91972	1	-0.029643	-0.18949	0.39416	0.94682	0.84971	0.93319
Eif2s2	4	-0.88357	-1.3684	0.010064	0.09725	0.17118	0.99994	0.058904	0.087428	0.17743	0.82667	0.93033	1	0.019812	0.029436	0.31258	0.93533	0.97652	1
Gstz1	4	0.042964	0.15326	0.68259	0.94945	0.87819	0.99994	-0.053838	-0.18811	0.55517	0.98069	0.85079	1	-0.44928	-1.5669	0.68549	0.979	0.11713	0.27112
1700029I15Rik	4	-0.057149	-0.27095	0.88193	0.98843	0.78643	0.99994	-0.040777	-0.18967	0.70811	0.98741	0.84957	1	-0.44314	-2.0582	0.69875	0.98021	0.039567	0.13168
Olfr275	4	0.20384	0.89677	0.11675	0.48085	0.36984	0.99994	-0.12611	-0.54253	0.08615	0.68623	0.58745	1	0.14235	0.61237	0.1629	0.9094	0.54029	0.71753
Gmeb1	4	0.018225	0.071315	0.79873	0.97557	0.94315	0.99994	0.021181	0.081401	0.48859	0.97007	0.93512	1	-0.80659	-3.0965	0.19044	0.92481	0.0019584	0.018984
Kif16b	4	-0.22596	-0.97584	0.3968	0.82457	0.32914	0.99994	-0.026328	-0.11118	0.89591	0.99524	0.91148	1	-0.21663	-0.91366	0.78816	0.98859	0.3609	0.56043
Btaf1	4	-0.18741	-0.5413	0.48076	0.8714	0.5883	0.99994	-0.035741	-0.10028	0.77103	0.98741	0.92012	1	-0.40676	-1.1359	0.7787	0.98767	0.256	0.45162
Camk2n2	4	-0.0596	-0.20261	0.87405	0.98808	0.83944	0.99994	0.0042287	0.01407	0.68773	0.98741	0.98877	1	-1.3932	-4.6113	0.012249	0.49307	4.002e-06	0.00037654
Timm9	4	-1.3313	-2.5389	0.00076239	0.01331	0.011121	0.20186	-0.1073	-0.20039	0.14821	0.79488	0.84117	1	-0.44274	-0.82655	0.69947	0.98021	0.40849	0.6057
Slc7a7	4	0.25303	1.7298	0.050013	0.29364	0.08366	0.85927	-0.076698	-0.51342	0.33245	0.93497	0.60766	1	-0.22808	-1.5261	0.81474	0.99313	0.127	0.28625
Smpd2	4	0.22576	0.84134	0.081321	0.39062	0.40016	0.99994	0.026765	0.097192	0.42983	0.96288	0.92257	1	-0.50493	-1.8275	0.57921	0.96858	0.067627	0.18724
4930451I11Rik	4	0.14714	1.0195	0.25875	0.70556	0.30798	0.99994	0.017575	0.11915	0.52661	0.97296	0.90516	1	-0.11071	-0.75022	0.5506	0.96845	0.45312	0.64441
Gm14744	4	-0.36272	-1.1299	0.18968	0.6177	0.25853	0.99994	0.011481	0.035002	0.59964	0.98614	0.97208	1	-0.65105	-1.9804	0.35304	0.93759	0.047661	0.14897
Hnrnpr	4	-0.23083	-0.72222	0.38607	0.81739	0.47016	0.99994	-0.051508	-0.15848	0.58211	0.98614	0.87408	1	-0.60626	-1.8643	0.41327	0.95255	0.062281	0.17741
Rimkla	4	0.0027507	0.0097224	0.86948	0.98808	0.99224	0.99994	-0.0090295	-0.031308	0.86729	0.99146	0.97502	1	-1.0835	-3.7491	0.056213	0.75613	0.00017746	0.0042266
