id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Tex261	4	0.020458	0.064677	0.763007	1533	3	-1.3333	0.86697	0.86679	1.0	16175	0	-1.3333
Gm5415	4	0.020483	0.06474	0.763007	1534	2	-1.071	0.48455	0.48435	1.0	8893	0	-1.071
Fcrls	4	0.020492	0.06476	0.763007	1535	2	-1.2704	0.76462	0.7643	1.0	14154	0	-1.2704
Gm9047	4	0.020561	0.064907	0.763007	1536	3	-1.6332	0.90993	0.90992	1.0	17083	0	-1.6332
Aifm1	4	0.020592	0.064976	0.763007	1537	3	-1.018	0.018943	0.035564	0.983538	681	1	-1.018
Safb2	4	0.020644	0.065077	0.763007	1538	3	-1.6434	0.34556	0.34504	1.0	6322	0	-1.6434
Unc50	4	0.020662	0.06511	0.763007	1539	2	-1.321	0.90536	0.90536	1.0	16965	0	-1.321
Podnl1	4	0.020662	0.06511	0.763007	1540	2	-0.40278	0.77821	0.77789	1.0	14403	0	-0.40278
Nkx3-1	4	0.020662	0.06511	0.763007	1541	3	-0.87776	0.91136	0.91133	1.0	17109	0	-0.87776
Gja5	4	0.020662	0.06511	0.763007	1542	1	0.29099	0.10104	0.12164	1.0	2187	1	0.29099
Ovgp1	4	0.020665	0.065117	0.763007	1543	2	-0.95575	0.34735	0.3468	1.0	6353	0	-0.95575
Ssxb1	4	0.020698	0.065188	0.763007	1544	3	-1.5244	0.16431	0.1748	1.0	3180	1	-1.5244
Atp1b4	4	0.020757	0.065307	0.763007	1545	2	-1.261	0.31791	0.31747	1.0	5811	0	-1.261
Cnot4	4	0.020757	0.065307	0.763007	1546	3	-1.7923	0.30059	0.3002	1.0	5484	1	-1.7923
Chd4	2	0.020775	0.038421	0.67286	1547	2	-0.82792	0.97923	0.97932	1.0	18586	0	-0.82792
Olfr1156	4	0.020796	0.065386	0.763007	1548	3	-1.2863	0.76769	0.76742	1.0	14207	0	-1.2863
Narfl	2	0.020806	0.038472	0.67286	1549	2	-0.95506	0.97919	0.97929	1.0	18585	0	-0.95506
Olfr164	4	0.020846	0.065484	0.763007	1550	2	-0.44812	0.12323	0.13993	1.0	2524	1	-0.44812
Sprr2a1	4	0.020885	0.065561	0.763007	1551	3	-1.5241	0.91024	0.91023	1.0	17090	0	-1.5241
Scp2	4	0.020899	0.065584	0.763007	1552	2	-0.40614	0.083069	0.10722	1.0	1934	1	-0.40614
Ext1	4	0.020944	0.065677	0.763007	1553	2	-1.2092	0.90703	0.90701	1.0	17003	0	-1.2092
Acss1	4	0.020952	0.065701	0.763007	1554	2	-0.35807	0.41623	0.41603	1.0	7641	0	-0.35807
Rpusd3	4	0.020966	0.065727	0.763007	1555	3	-1.3199	0.86464	0.86448	1.0	16123	0	-1.3199
Fgg	4	0.020982	0.065758	0.763007	1556	3	-1.3484	0.96521	0.96524	1.0	18264	0	-1.3484
Pex19	4	0.020993	0.065789	0.763007	1557	3	-1.3192	0.80468	0.80456	1.0	14914	0	-1.3192
Smek1	4	0.02101	0.06582	0.763007	1558	3	-1.4976	0.52219	0.52179	1.0	9581	0	-1.4976
Clec16a	4	0.021014	0.065828	0.763007	1559	3	-1.5101	0.97938	0.97948	1.0	18589	0	-1.5101
Scn2a	4	0.021049	0.065898	0.763007	1560	2	-0.76489	0.58566	0.58535	1.0	10793	0	-0.76489
Vmn1r224	4	0.021058	0.065915	0.763007	1561	1	0.040869	0.31112	0.3107	1.0	5684	1	0.040869
Hgsnat	4	0.021111	0.066018	0.763007	1562	3	-1.5042	0.89341	0.89335	1.0	16714	0	-1.5042
Htra3	4	0.021119	0.066037	0.763007	1563	3	-1.4424	0.95445	0.95443	1.0	18008	0	-1.4424
Tsnax	4	0.021124	0.066051	0.763007	1564	3	-1.3575	0.94528	0.94526	1.0	17806	0	-1.3575
Eef1e1	2	0.021171	0.039147	0.68035	1565	2	-0.96558	0.97883	0.97893	1.0	18574	0	-0.96558
Fst	4	0.021216	0.06624	0.764707	1566	2	-1.3008	0.4245	0.42425	1.0	7780	0	-1.3008
Hist2h3c2	2	0.021243	0.039265	0.68074	1567	2	-1.0382	0.97876	0.97885	1.0	18572	0	-1.0382
Pex13	4	0.021255	0.066316	0.764707	1568	3	-1.6995	0.29131	0.29109	1.0	5316	1	-1.6995
Cops2	3	0.021271	0.05473	0.744331	1569	3	-1.4198	0.97873	0.97886	1.0	18569	0	-1.4198
Ncapg	3	0.021339	0.054891	0.744963	1570	3	-0.96859	0.97866	0.97879	1.0	18568	0	-0.96859
Ctdnep1	4	0.021354	0.066513	0.766043	1571	3	-1.4501	0.69427	0.69407	1.0	12837	0	-1.4501
Mst1r	4	0.021383	0.066569	0.766242	1572	2	-1.2034	0.50043	0.50011	1.0	9188	0	-1.2034
Prmt3	4	0.021412	0.066627	0.766331	1573	3	-1.7864	0.752	0.75177	1.0	13914	0	-1.7864
Gfer	2	0.021481	0.039676	0.681618	1574	2	-1.0351	0.97852	0.97861	1.0	18566	0	-1.0351
Fam135b	4	0.021487	0.066785	0.766533	1575	3	-1.6132	0.38015	0.37973	1.0	6960	0	-1.6132
Ncdn	4	0.021489	0.066792	0.766533	1576	2	-1.3054	0.92198	0.92214	1.0	17322	0	-1.3054
AI593442	4	0.021501	0.06682	0.766533	1577	3	-1.3677	0.9781	0.97824	1.0	18553	0	-1.3677
Dcdc2c	4	0.021507	0.066833	0.766533	1578	2	-1.0056	0.21517	0.2197	1.0	4002	1	-1.0056
Orc3	3	0.021517	0.055324	0.745196	1579	2	-1.3792	0.87087	0.87096	1.0	16256	0	-1.3792
H60b	4	0.021533	0.066891	0.766705	1580	2	-1.2334	0.71789	0.71758	1.0	13282	0	-1.2334
Rnf40	2	0.021548	0.039796	0.681618	1581	2	-0.9489	0.97845	0.97855	1.0	18564	0	-0.9489
Rlim	4	0.021559	0.066938	0.766705	1582	2	-1.3462	0.087937	0.1111	1.0	1999	1	-1.3462
Cxxc1	2	0.021571	0.03984	0.681618	1583	2	-1.0341	0.97843	0.97852	1.0	18563	0	-1.0341
Trh	4	0.021576	0.066969	0.766705	1584	3	-1.4663	0.92851	0.92868	1.0	17441	0	-1.4663
1110037F02Rik	2	0.02163	0.039974	0.681618	1585	2	-0.82959	0.97837	0.97847	1.0	18560	0	-0.82959
Ccdc9	4	0.021648	0.067116	0.767145	1586	2	-0.65614	0.32593	0.32543	1.0	5965	0	-0.65614
Pwp2	2	0.02165	0.040004	0.681618	1587	2	-0.91913	0.97835	0.97845	1.0	18559	0	-0.91913
Olfr980	4	0.021652	0.067124	0.767145	1588	3	-1.2413	0.84434	0.84415	1.0	15685	0	-1.2413
Ect2	1	0.021669	0.021598	0.585222	1589	1	-0.5961	0.97833	0.97839	1.0	18557	0	-0.5961
Fermt2	3	0.021671	0.055683	0.746728	1590	2	-1.3768	0.10301	0.11075	1.0	2217	1	-1.3768
Mospd1	4	0.021718	0.067263	0.768272	1591	3	-1.2347	0.97876	0.97887	1.0	18571	0	-1.2347
Ncaph2	3	0.021748	0.055877	0.746728	1592	2	-1.3761	0.51476	0.51488	1.0	9457	0	-1.3761
Mcmdc2	4	0.021758	0.067341	0.768719	1593	3	-1.6466	0.91553	0.9156	1.0	17197	0	-1.6466
Usp34	4	0.021782	0.067391	0.768832	1594	3	-1.1873	0.90438	0.90436	1.0	16945	0	-1.1873
Rab38	4	0.021897	0.067618	0.769919	1595	3	-1.6715	0.97743	0.9776	1.0	18538	0	-1.6715
Pcnx3	4	0.021897	0.067618	0.769919	1596	3	-1.7852	0.9588	0.95878	1.0	18108	0	-1.7852
Nap1l4	4	0.021903	0.067629	0.769919	1597	2	-0.15548	0.3628	0.36244	1.0	6632	0	-0.15548
Asns	3	0.02197	0.056412	0.746728	1598	3	-0.79251	0.97803	0.97816	1.0	18549	0	-0.79251
Trim27	4	0.021995	0.067816	0.770581	1599	3	-1.7673	0.96145	0.96141	1.0	18175	0	-1.7673
Zdhhc16	4	0.021998	0.067821	0.770581	1600	3	-1.7719	0.83557	0.83545	1.0	15509	0	-1.7719
Rnf8	4	0.022012	0.067854	0.770581	1601	3	-1.8456	0.14362	0.1571	1.0	2832	1	-1.8456
Itm2b	4	0.022061	0.067954	0.771153	1602	3	-0.80898	0.84239	0.84218	1.0	15650	0	-0.80898
Gm15093	3	0.022072	0.056646	0.746866	1603	3	-1.1753	0.97793	0.97806	1.0	18548	0	-1.1753
Bud13	4	0.02208	0.067994	0.771153	1604	3	-1.3736	0.96991	0.96994	1.0	18361	0	-1.3736
Ptma	3	0.022114	0.05674	0.746968	1605	2	-1.3051	0.9214	0.92141	1.0	17311	0	-1.3051
Atg10	4	0.022179	0.068208	0.771753	1606	3	-1.3092	0.74834	0.748	1.0	13856	0	-1.3092
Tti2	4	0.022187	0.068223	0.771753	1607	3	-1.5712	0.024697	0.045288	1.0	853	1	-1.5712
Emid1	4	0.022219	0.068286	0.771753	1608	1	0.19657	0.23967	0.24215	1.0	4416	1	0.19657
Kcnk4	4	0.022219	0.068286	0.771753	1609	1	0.033553	0.79255	0.79242	1.0	14665	0	0.033553
Ncan	4	0.022219	0.068286	0.771753	1610	1	0.81103	0.28695	0.28689	1.0	5242	1	0.81103
Olfr557	4	0.022252	0.068352	0.771766	1611	3	-1.7212	0.60424	0.60391	1.0	11127	0	-1.7212
Rcc2	4	0.022366	0.0686	0.772527	1612	3	-1.2488	0.055764	0.085492	1.0	1555	1	-1.2488
Ppp2r1a	2	0.022441	0.04145	0.688093	1613	2	-1.0227	0.97756	0.9777	1.0	18541	0	-1.0227
Cdx1	4	0.022444	0.068748	0.772527	1614	3	-1.4791	0.97911	0.97921	1.0	18580	0	-1.4791
Cbx2	4	0.022444	0.068748	0.772527	1615	3	-1.8174	0.95522	0.9552	1.0	18023	0	-1.8174
Zfp980	4	0.022448	0.068754	0.772527	1616	3	-1.2326	0.97687	0.97705	1.0	18527	0	-1.2326
Endod1	4	0.022457	0.068776	0.772527	1617	1	0.60438	0.034823	0.062314	1.0	1148	1	0.60438
Clcc1	2	0.022467	0.041498	0.688093	1618	2	-0.93814	0.97753	0.97767	1.0	18540	0	-0.93814
Rel	4	0.022485	0.068827	0.772527	1619	3	-1.3826	0.050716	0.081465	1.0	1488	1	-1.3826
Mtmr12	4	0.022489	0.068834	0.772527	1620	2	-1.4848	0.93555	0.93561	1.0	17592	0	-1.4848
Chmp4b	2	0.022511	0.041583	0.688093	1621	2	-1.0221	0.97749	0.97763	1.0	18539	0	-1.0221
Tmprss9	4	0.022567	0.069	0.773308	1622	3	-1.4269	0.95235	0.95235	1.0	17971	0	-1.4269
Sidt2	4	0.022579	0.069024	0.773308	1623	2	-1.0343	0.70947	0.70908	1.0	13111	0	-1.0343
Yap1	1	0.022682	0.022635	0.587301	1624	1	-0.5961	0.97732	0.97738	1.0	18533	0	-0.5961
Gm4461	4	0.0227	0.069269	0.773328	1625	3	-1.4862	0.60153	0.6012	1.0	11081	0	-1.4862
Slbp	3	0.022748	0.058281	0.752776	1626	2	-1.3607	0.92842	0.92851	1.0	17439	0	-1.3607
Kctd10	4	0.022751	0.069386	0.773328	1627	3	-1.3466	0.77961	0.77932	1.0	14420	0	-1.3466
Rad51c	3	0.022751	0.058287	0.752776	1628	3	-1.0982	0.97725	0.97741	1.0	18531	0	-1.0982
Slc16a3	4	0.022806	0.069495	0.773328	1629	3	-1.3554	0.83614	0.83602	1.0	15520	0	-1.3554
Baiap2l1	4	0.022824	0.069526	0.773328	1630	2	-0.5908	0.098311	0.11943	1.0	2151	1	-0.5908
Tmem218	4	0.022826	0.069531	0.773328	1631	3	-0.92696	0.68311	0.68294	1.0	12615	0	-0.92696
Chtf18	4	0.022851	0.069569	0.773328	1632	2	-1.3093	0.31779	0.31735	1.0	5809	0	-1.3093
Coq4	4	0.022894	0.069659	0.773328	1633	3	-1.2667	0.94994	0.94995	1.0	17922	0	-1.2667
Cuta	4	0.022896	0.069662	0.773328	1634	2	-1.1189	0.83721	0.83707	1.0	15544	0	-1.1189
Olfr61	4	0.022905	0.069683	0.773328	1635	1	0.16113	0.37903	0.37862	1.0	6940	0	0.16113
Jph3	4	0.022914	0.0697	0.773328	1636	2	-1.1124	0.88709	0.88703	1.0	16579	0	-1.1124
Ywhae	3	0.022969	0.058803	0.754905	1637	3	-1.2512	0.97703	0.97719	1.0	18530	0	-1.2512
Kcna10	4	0.022978	0.069829	0.773328	1638	2	-0.70114	0.22359	0.22735	1.0	4151	1	-0.70114
Htr5a	3	0.022986	0.058846	0.754905	1639	1	-0.45176	0.51535	0.51544	1.0	9469	0	-0.45176
Angptl1	4	0.022987	0.06985	0.773328	1640	3	-1.4029	0.95329	0.95331	1.0	17985	0	-1.4029
Enpp6	4	0.022996	0.06987	0.773328	1641	2	-1.0402	0.50246	0.50214	1.0	9226	0	-1.0402
Ccdc159	4	0.023011	0.069893	0.773328	1642	2	-0.445	0.49282	0.49254	1.0	9048	0	-0.445
Spint2	4	0.023063	0.070009	0.773328	1643	1	0.4986	0.27183	0.27242	1.0	4978	1	0.4986
Vmn1r48	4	0.023089	0.07006	0.773328	1644	3	-1.4014	0.74905	0.74871	1.0	13865	0	-1.4014
Onecut2	4	0.023097	0.070072	0.773328	1645	2	-1.0448	0.93543	0.9355	1.0	17589	0	-1.0448
Golt1b	3	0.023101	0.059109	0.755467	1646	3	-0.99997	0.9769	0.97707	1.0	18528	0	-0.99997
Tbc1d2	4	0.023116	0.070118	0.773328	1647	2	-0.37828	0.18839	0.19579	1.0	3565	1	-0.37828
Pfn2	4	0.023169	0.070227	0.773328	1648	3	-0.8517	0.97256	0.9727	1.0	18421	0	-0.8517
Dnajb5	4	0.02317	0.070232	0.773328	1649	3	-1.8347	0.72836	0.72805	1.0	13482	0	-1.8347
Ephb3	4	0.023196	0.07029	0.773328	1650	3	-1.5603	0.90477	0.90475	1.0	16953	0	-1.5603
Sned1	4	0.023221	0.070343	0.773328	1651	2	0.01081	0.059716	0.088564	1.0	1610	1	0.01081
Adat3	2	0.023238	0.042865	0.693049	1652	2	-1.0121	0.97676	0.9769	1.0	18525	0	-1.0121
Ccdc43	4	0.023274	0.070442	0.773328	1653	1	-0.025197	0.57274	0.57217	1.0	10549	0	-0.025197
Exoc3l4	4	0.023304	0.070508	0.773328	1654	3	-1.735	0.23542	0.23823	1.0	4348	1	-1.735
Med14	2	0.023324	0.043019	0.693049	1655	2	-1.0106	0.97668	0.97681	1.0	18522	0	-1.0106
Trim8	4	0.023353	0.070611	0.773328	1656	1	-0.086153	0.85126	0.85105	1.0	15838	0	-0.086153
Myh4	4	0.023362	0.070631	0.773328	1657	2	-1.2826	0.83992	0.83976	1.0	15599	0	-1.2826
Ptrh2	4	0.023362	0.070631	0.773328	1658	3	-1.8373	0.90896	0.90896	1.0	17051	0	-1.8373
1190007I07Rik	4	0.023417	0.070734	0.773328	1659	2	-1.3995	0.67881	0.67863	1.0	12522	0	-1.3995
Zfp423	4	0.023432	0.070762	0.773328	1660	2	-0.22295	0.90894	0.90894	1.0	17049	0	-0.22295
Slc39a10	3	0.023452	0.059936	0.756418	1661	3	-0.73796	0.97655	0.97672	1.0	18519	0	-0.73796
Sec13	2	0.023476	0.043292	0.694955	1662	2	-1.0716	0.97652	0.97667	1.0	18518	0	-1.0716
Gm7714	4	0.023511	0.070929	0.773328	1663	1	0.60476	0.64132	0.64113	1.0	11829	0	0.60476
Vmn1r60	4	0.023525	0.070953	0.773328	1664	3	-1.1158	0.26427	0.26522	1.0	4835	1	-1.1158
Ube2o	4	0.023528	0.07096	0.773328	1665	2	-1.3712	0.86478	0.86463	1.0	16127	0	-1.3712
Esf1	2	0.023529	0.043396	0.695421	1666	2	-1.0074	0.97647	0.97662	1.0	18517	0	-1.0074
Gm13275	3	0.023548	0.060157	0.756418	1667	3	-0.85954	0.97645	0.97662	1.0	18516	0	-0.85954
Dnah7a	4	0.023562	0.071033	0.773328	1668	3	-1.5556	0.95909	0.95909	1.0	18114	0	-1.5556
Ssx9	4	0.023567	0.071046	0.773328	1669	3	-1.4808	0.96772	0.96775	1.0	18320	0	-1.4808
Aff4	4	0.023591	0.071092	0.773328	1670	3	-1.0781	0.33874	0.33823	1.0	6201	0	-1.0781
Vmn2r21	4	0.023597	0.071107	0.773328	1671	2	-0.78612	0.25308	0.25469	1.0	4643	1	-0.78612
Vmn1r10	4	0.023619	0.071154	0.773328	1672	3	-1.6002	0.87361	0.8735	1.0	16313	0	-1.6002
Slc26a11	4	0.023675	0.07128	0.773328	1673	3	-1.4361	0.73552	0.73511	1.0	13615	0	-1.4361
2210408I21Rik	4	0.023696	0.071323	0.773328	1674	2	-0.70094	0.86177	0.86157	1.0	16058	0	-0.70094
Abcf2	4	0.023735	0.071403	0.773328	1675	3	-1.6072	0.97381	0.97393	1.0	18447	0	-1.6072
Ccdc81	4	0.023749	0.071432	0.773328	1676	2	-0.38231	0.55902	0.55846	1.0	10308	0	-0.38231
Olfr550	4	0.023789	0.071515	0.773328	1677	3	-1.4979	0.97834	0.97847	1.0	18558	0	-1.4979
Zfp346	4	0.023801	0.071539	0.773328	1678	1	1.2604	0.012836	0.025037	0.912653	510	2	1.2604
Ifna1	4	0.023867	0.071671	0.773328	1679	3	-1.2733	0.36723	0.36685	1.0	6705	0	-1.2733
Mug1	4	0.023869	0.071675	0.773328	1680	2	-1.2571	0.72264	0.72239	1.0	13378	0	-1.2571
Taf6l	3	0.023913	0.061072	0.759018	1681	3	-0.65762	0.97609	0.97626	1.0	18508	0	-0.65762
Mansc1	4	0.023933	0.071803	0.773328	1682	3	-1.2364	0.13878	0.15303	1.0	2761	1	-1.2364
Chpf2	4	0.023933	0.071803	0.773328	1683	1	-0.098352	0.17318	0.18247	1.0	3322	1	-0.098352
Thada	4	0.023933	0.071803	0.773328	1684	2	-1.0514	0.95055	0.95056	1.0	17931	0	-1.0514
Eif4e2	4	0.023955	0.071854	0.773328	1685	3	-1.4007	0.59255	0.59222	1.0	10928	0	-1.4007
Olfr954	4	0.023999	0.071938	0.773328	1686	2	-0.97306	0.14591	0.15903	1.0	2865	1	-0.97306
Slc35f5	4	0.024041	0.072032	0.773328	1687	3	-1.551	0.47957	0.47937	1.0	8796	0	-1.551
Cd209c	4	0.024065	0.072082	0.773328	1688	1	-0.067007	0.73264	0.73232	1.0	13562	0	-0.067007
Caml	4	0.024065	0.072082	0.773328	1689	3	-1.2376	0.7804	0.78014	1.0	14437	0	-1.2376
Timm50	3	0.024078	0.061452	0.75924	1690	3	-1.3738	0.94798	0.94822	1.0	17880	0	-1.3738
Glra2	4	0.024092	0.07213	0.773328	1691	2	-1.3076	0.65666	0.65649	1.0	12105	0	-1.3076
Leprotl1	4	0.024108	0.072164	0.773328	1692	3	-1.3475	0.9635	0.9635	1.0	18219	0	-1.3475
Gatad2a	4	0.024118	0.072187	0.773328	1693	3	-1.4655	0.20252	0.20826	1.0	3782	1	-1.4655
4921539E11Rik	4	0.024118	0.072187	0.773328	1694	2	-0.1587	0.82682	0.82674	1.0	15335	0	-0.1587
Tprkb	2	0.024151	0.044493	0.700567	1695	1	-0.5961	0.67224	0.67212	1.0	12398	0	-0.5961
Qrich1	4	0.024192	0.072333	0.774324	1696	3	-1.7293	0.88294	0.88286	1.0	16497	0	-1.7293
Snx8	4	0.024223	0.0724	0.774324	1697	3	-0.93054	0.46887	0.46862	1.0	8595	0	-0.93054
Gm10778	4	0.024223	0.0724	0.774324	1698	2	0.053813	0.039092	0.069433	1.0	1277	2	0.053813
Kcnk12	4	0.024269	0.072498	0.774947	1699	2	-0.73374	0.39971	0.39954	1.0	7326	0	-0.73374
Cd8a	4	0.024348	0.072641	0.775003	1700	3	-1.303	0.93274	0.93282	1.0	17527	0	-1.303
Prlh	4	0.024381	0.072722	0.775003	1701	1	0.40223	0.64397	0.64374	1.0	11873	0	0.40223
Atp2a3	4	0.024381	0.072722	0.775003	1702	1	0.017132	0.69062	0.69042	1.0	12767	0	0.017132
Nuak2	4	0.024414	0.072779	0.775003	1703	3	-1.5447	0.031736	0.057159	1.0	1053	1	-1.5447
Rhox10	4	0.024463	0.072866	0.775003	1704	3	-1.3614	0.37409	0.3737	1.0	6850	0	-1.3614
Eny2	2	0.024481	0.045074	0.701865	1705	2	-0.99545	0.97552	0.97566	1.0	18491	0	-0.99545
Tmem2	4	0.024484	0.072902	0.775003	1706	2	-1.4167	0.95676	0.95673	1.0	18062	0	-1.4167
Rasd1	4	0.024486	0.072905	0.775003	1707	2	-0.06877	0.039983	0.070974	1.0	1303	2	-0.06877
Ebag9	3	0.024502	0.062453	0.759615	1708	2	-1.4289	0.75784	0.75804	1.0	14029	0	-1.4289
Mtif3	3	0.024509	0.06247	0.759615	1709	3	-1.0859	0.97549	0.97566	1.0	18490	0	-1.0859
Gprasp2	4	0.024565	0.073061	0.775051	1710	2	-1.0197	0.40187	0.40172	1.0	7369	0	-1.0197
Lpar2	4	0.024565	0.073061	0.775051	1711	2	-0.13874	0.6257	0.62549	1.0	11537	0	-0.13874
Aqp9	4	0.02457	0.07307	0.775051	1712	3	-1.7702	0.90938	0.90938	1.0	17063	0	-1.7702
Rbbp6	2	0.024614	0.04529	0.701865	1713	2	-0.99302	0.97539	0.97551	1.0	18487	0	-0.99302
Wee1	2	0.024614	0.04529	0.701865	1714	2	-0.99302	0.97539	0.97551	1.0	18486	0	-0.99302
Gfm1	2	0.024614	0.04529	0.701865	1715	2	-0.99302	0.97539	0.97551	1.0	18485	0	-0.99302
Ypel1	4	0.024623	0.073184	0.775495	1716	3	-1.3231	0.43029	0.43004	1.0	7879	0	-1.3231
Lmod3	4	0.024671	0.073272	0.775495	1717	2	-0.4722	0.97919	0.9793	1.0	18584	0	-0.4722
Mfsd14a	4	0.024671	0.073272	0.775495	1718	2	-0.43709	0.79754	0.79742	1.0	14761	0	-0.43709
Dgcr8	3	0.024717	0.062962	0.761444	1719	2	-1.3325	0.93892	0.93911	1.0	17664	0	-1.3325
Ttf2	3	0.024734	0.063001	0.761444	1720	3	-1.1908	0.97527	0.97543	1.0	18482	0	-1.1908
1810030O07Rik	4	0.024776	0.073486	0.776486	1721	2	-0.31888	0.21226	0.21706	1.0	3955	1	-0.31888
Harbi1	4	0.024776	0.073486	0.776486	1722	2	-0.74859	0.6614	0.66117	1.0	12200	0	-0.74859
Sln	4	0.024855	0.073644	0.777338	1723	3	-0.49994	0.92701	0.92718	1.0	17415	0	-0.49994
Ift22	4	0.024908	0.073766	0.777338	1724	2	-0.11201	0.62839	0.62818	1.0	11586	0	-0.11201
Calm1	4	0.024931	0.073814	0.777338	1725	3	-1.5942	0.94485	0.94486	1.0	17796	0	-1.5942
Gng12	4	0.024931	0.073814	0.777338	1726	3	-1.7236	0.77531	0.77503	1.0	14349	0	-1.7236
A930009A15Rik	4	0.02496	0.073877	0.777338	1727	3	-0.91757	0.89902	0.89897	1.0	16834	0	-0.91757
Pfkfb3	4	0.025002	0.073953	0.777338	1728	2	-0.35081	0.032139	0.057827	1.0	1064	2	-0.35081
Abo	4	0.025013	0.073978	0.777338	1729	2	-0.72354	0.28961	0.28946	1.0	5286	1	-0.72354
Eed	2	0.025013	0.046011	0.705846	1730	2	-0.87001	0.97499	0.97512	1.0	18476	0	-0.87001
Iqsec3	4	0.025066	0.074072	0.777338	1731	2	-0.85224	0.56701	0.56648	1.0	10446	0	-0.85224
Fcrlb	4	0.025102	0.074157	0.77762	1732	2	-1.1377	0.38404	0.38369	1.0	7032	0	-1.1377
Tmem209	4	0.025144	0.074239	0.777903	1733	2	-1.0923	0.35287	0.35234	1.0	6452	0	-1.0923
Vmn1r11	3	0.025264	0.064278	0.763007	1734	2	-1.0803	0.93822	0.93842	1.0	17650	0	-1.0803
Carf	4	0.025276	0.074513	0.777903	1735	1	0.035322	0.72367	0.72343	1.0	13399	0	0.035322
Gas2l1	4	0.025276	0.074513	0.777903	1736	1	0.10011	0.23836	0.24091	1.0	4392	1	0.10011
Glis2	4	0.025276	0.074513	0.777903	1737	2	-0.72038	0.73036	0.73005	1.0	13516	0	-0.72038
Vmn2r33	3	0.025313	0.064389	0.763007	1738	3	-0.91025	0.97469	0.97483	1.0	18468	0	-0.91025
Rnaset2a	4	0.025315	0.074596	0.777903	1739	3	-1.6629	0.83483	0.83476	1.0	15495	0	-1.6629
Gtf2e2	2	0.025322	0.04655	0.709885	1740	2	-0.98359	0.97468	0.97481	1.0	18467	0	-0.98359
B3gnt5	4	0.025336	0.074644	0.777903	1741	3	-1.7308	0.82525	0.82516	1.0	15313	0	-1.7308
Nmt1	4	0.025391	0.07475	0.777903	1742	3	-1.1813	0.97828	0.97841	1.0	18555	0	-1.1813
Tmco4	4	0.025392	0.074752	0.777903	1743	3	-1.5673	0.63644	0.63616	1.0	11735	0	-1.5673
Parp12	4	0.025405	0.074779	0.777903	1744	3	-1.667	0.83358	0.83347	1.0	15467	0	-1.667
Dab2ip	4	0.025408	0.074785	0.777903	1745	1	0.17776	0.44057	0.44038	1.0	8076	0	0.17776
4933427D06Rik	4	0.025408	0.074785	0.777903	1746	2	-0.20848	0.68567	0.68549	1.0	12667	0	-0.20848
Ralgapb	4	0.025487	0.074944	0.777903	1747	1	0.034767	0.58862	0.58828	1.0	10848	0	0.034767
Rmnd5a	4	0.025524	0.075032	0.777903	1748	3	-1.8581	0.8916	0.89154	1.0	16673	0	-1.8581
Olfr1056	4	0.025525	0.075032	0.777903	1749	2	-1.1726	0.49518	0.49484	1.0	9087	0	-1.1726
Vmn2r111	4	0.025549	0.075076	0.777903	1750	2	-0.88121	0.049011	0.080073	1.0	1463	1	-0.88121
Olfr955	4	0.025592	0.075157	0.777903	1751	2	-0.86301	0.68979	0.68957	1.0	12752	0	-0.86301
Sh3d21	4	0.025592	0.075157	0.777903	1752	2	-0.89848	0.65775	0.65757	1.0	12131	0	-0.89848
Akt1	4	0.025613	0.075193	0.777903	1753	3	-1.1346	0.96873	0.96877	1.0	18332	0	-1.1346
Ctsz	4	0.025619	0.0752	0.777903	1754	2	-0.52396	0.44286	0.44263	1.0	8116	0	-0.52396
Bnc1	4	0.025628	0.075222	0.777903	1755	3	-1.7487	0.6319	0.63168	1.0	11651	0	-1.7487
Atp9a	4	0.025633	0.075232	0.777903	1756	3	-1.2013	0.86066	0.86043	1.0	16034	0	-1.2013
Cyp27b1	4	0.025648	0.075271	0.777903	1757	3	-1.3004	0.53092	0.53045	1.0	9763	0	-1.3004
Rmi2	3	0.025702	0.065299	0.763007	1758	3	-1.041	0.9743	0.97445	1.0	18461	0	-1.041
Olfr430	3	0.025738	0.065379	0.763007	1759	2	-0.62409	0.11041	0.11729	1.0	2335	1	-0.62409
Pou6f1	4	0.02575	0.075466	0.779092	1760	3	-0.90874	0.78596	0.7858	1.0	14543	0	-0.90874
Tbc1d9b	4	0.02575	0.075466	0.779092	1761	3	-0.77057	0.62173	0.62144	1.0	11476	0	-0.77057
0610010B08Rik	3	0.025837	0.065607	0.763007	1762	1	-0.17138	0.20864	0.20884	1.0	3884	1	-0.17138
4933428G20Rik	3	0.025837	0.065607	0.763007	1763	1	-0.076698	0.26283	0.26253	1.0	4808	0	-0.076698
Kat2a	4	0.025837	0.075646	0.780458	1764	3	-1.2737	0.80926	0.80917	1.0	15009	0	-1.2737
Zfp592	4	0.025855	0.075679	0.780458	1765	2	-0.39866	0.88949	0.88943	1.0	16618	0	-0.39866
Cox6a2	4	0.025908	0.075786	0.781003	1766	2	-0.34507	0.84235	0.84214	1.0	15648	0	-0.34507
Exoc7	4	0.025942	0.075848	0.781003	1767	3	-1.0698	0.72231	0.72205	1.0	13370	0	-1.0698
Isl2	4	0.025987	0.07594	0.781003	1768	3	-1.1699	0.22457	0.22825	1.0	4168	1	-1.1699
